date,symbol,entryPrice,exitPrice,pnl,solIn,heldMin,exitReason
2026-04-02T15:08:12.246Z,SPIN,0.000001254,0.0000014172373704308672,13.02%,0.015 SOL,3.0min,TP1 +13.0%
2026-04-02T15:13:07.422Z,萌萌,0.000001683,0.000001178997609455561,-29.95%,0.015 SOL,1.1min,Kill switch -29.9%
2026-04-02T15:38:12.464Z,SPIN,0.000001254,0.0000013772403511456419,9.83%,0.015 SOL,33.0min,Time stop 33.0min
2026-04-02T17:50:08.361Z,SPIN,0.000002074,0.0000023407717251743684,12.86%,0.015 SOL,7.6min,TP1 +12.9%
2026-04-02T17:55:33.368Z,SPIN,0.000002074,0.0000021030360457059836,1.40%,0.015 SOL,13.0min,Trail -12.0% from peak
2026-04-02T18:13:03.481Z,SPIN,0.0000023,0.0000021437840100043253,-6.79%,0.015 SOL,8.5min,Rapid bleed -6.8%
2026-04-02T18:16:43.541Z,DOUG,8.737e-7,8.14597108621483e-7,-6.76%,0.015 SOL,6.1min,Rapid bleed -6.8%
2026-04-02T20:12:24.190Z,FSP,0.00001342,0.00001504704112702236,12.12%,0.015 SOL,14.3min,TP1 +12.1%
2026-04-02T20:15:39.458Z,RPU,0.000001274,0.0000011517129911046007,-9.60%,0.015 SOL,1.7min,Rapid bleed -9.6%
2026-04-02T20:32:29.572Z,PUG,9.535e-7,0.0000010756306414066124,12.81%,0.015 SOL,0.5min,TP1 +12.8%
2026-04-02T20:33:24.576Z,PUG,9.535e-7,9.385300581130708e-7,-1.57%,0.015 SOL,1.4min,Trail -12.7% from peak
2026-04-02T20:56:44.731Z,PUG,0.000001148,0.0000010409298738837803,-9.33%,0.015 SOL,0.2min,Rapid bleed -9.3%
2026-04-02T21:43:54.814Z,FSP,0.00001342,0.000020166235039681453,50.27%,0.015 SOL,105.8min,TP2 +50.3%
2026-04-02T22:58:48.334Z,TIGER,0.000001344,0.0000016067699323399933,19.55%,0.015 SOL,1.1min,TP1 +19.6%
2026-04-02T23:10:03.160Z,TIGER,0.000001344,0.000001482790415816431,10.33%,0.015 SOL,12.4min,Trail -15.9% from peak
2026-04-02T23:47:53.442Z,PFP,0.000003894,0.0000036432004620049313,-6.44%,0.015 SOL,5.5min,Rapid bleed -6.4%
2026-04-03T01:33:04.128Z,HEART,0.000001666,0.0000019301165420317252,15.85%,0.015 SOL,4.4min,TP1 +15.9%
2026-04-03T01:39:54.155Z,HEART,0.000001666,0.0000018416519552694543,10.54%,0.015 SOL,11.2min,Trail -15.9% from peak
2026-04-03T04:08:10.709Z,BICHIMAO,0.000002789,0.0000022444570808871556,-19.52%,0.015 SOL,0.1min,Stop loss -19.5%
2026-04-03T05:35:56.240Z,RPU,0.00001714,0.000016386983746022663,-4.39%,0.015 SOL,0.0min,Ultra-fast reject -4.4%
2026-04-03T11:32:28.438Z,LEPE,0.000001373,0.0000015844694732989805,15.40%,0.015 SOL,7.1min,TP1 +15.4%
2026-04-03T11:35:33.504Z,LEPE,0.000001373,0.0000013682250267696864,-0.35%,0.015 SOL,10.2min,Trail -13.6% from peak
2026-04-03T15:52:24.574Z,CJ,0.000001652,0.000001916496223401327,16.01%,0.015 SOL,4.8min,TP1 +16.0%
2026-04-03T16:01:40.007Z,CJ,0.000001652,0.0000017616194064334533,6.64%,0.015 SOL,14.0min,Trail -15.3% from peak
2026-04-06T20:56:32.339Z,conviction,8.293e-7,7.973512191118455e-7,-3.85%,0.02 SOL,0.1min,Ultra-fast reject -3.9%
2026-04-06T21:22:37.630Z,FNJ,0.000001837,0.0000016238437164156215,-11.60%,0.02 SOL,5.4min,Slow bleed -11.6%
2026-04-06T23:51:58.461Z,SPARK,0.000001455,0.0000016970465333155282,16.64%,0.02 SOL,1.2min,TP1 +16.6%
2026-04-06T23:53:48.485Z,SPARK,0.000001455,0.000001709261261484099,17.48%,0.02 SOL,3.0min,Trail -15.1% from peak
2026-04-07T03:39:55.043Z,KOMARI,8.461e-7,7.497842085401629e-7,-11.38%,0.02 SOL,0.1min,Ultra-fast reject -11.4%
2026-04-07T03:51:55.120Z,Iroha,0.000001168,0.0000011280368846926335,-3.42%,0.02 SOL,0.0min,Ultra-fast reject -3.4%
2026-04-07T04:59:35.468Z,Homer,0.000001129,0.0000013332361038530524,18.09%,0.02 SOL,6.6min,TP1 +18.1%
2026-04-07T05:01:30.479Z,Homer,0.000001129,9.923815926673181e-7,-12.10%,0.02 SOL,8.5min,Slow bleed -12.1%
2026-04-07T05:08:50.542Z,XANA,0.000001198,0.0000011118937512008453,-7.19%,0.02 SOL,1.3min,Rapid bleed -7.2%
2026-04-07T05:48:25.963Z,BabyTrump,0.000005909,0.0000070220784470580475,18.84%,0.02 SOL,9.8min,TP1 +18.8%
2026-04-07T05:50:15.810Z,BabyTrump,0.000005909,0.000005898019322824636,-0.19%,0.02 SOL,11.6min,Trail -16.0% from peak
2026-04-07T06:08:26.224Z,Socks,0.00002486,0.000022218998708771552,-10.62%,0.02 SOL,0.1min,Ultra-fast reject -10.6%
2026-04-07T08:01:03.851Z,Pumpverse,0.000001347,0.0000012279454089724035,-8.84%,0.02 SOL,18.0min,Slow bleed -8.8%
2026-04-07T08:37:59.198Z,pussies,0.000002488,0.0000022582332025292213,-9.23%,0.02 SOL,0.1min,Ultra-fast reject -9.2%
2026-04-07T08:46:19.130Z,Aspen,0.000001219,0.0000011553316366316036,-5.22%,0.02 SOL,0.6min,Ultra-fast reject -5.2%
2026-04-07T17:10:58.754Z,Tremp,0.000001099,0.0000012873960783536669,17.14%,0.02 SOL,0.9min,TP1 +17.1%
2026-04-07T17:11:08.629Z,Tremp,0.000001099,0.0000010667901503076669,-2.93%,0.02 SOL,1.1min,Trail -17.1% from peak
2026-04-07T17:35:28.777Z,cortiSOL,0.000001373,0.0000012463888126092036,-9.22%,0.02 SOL,7.7min,Slow bleed -9.2%
2026-04-07T18:10:13.956Z,Puff,0.000001236,0.0000011879690453933794,-3.89%,0.02 SOL,0.3min,Ultra-fast reject -3.9%
2026-04-07T18:15:14.131Z,USDT,0.000001053,9.989811014035685e-7,-5.13%,0.02 SOL,0.1min,Ultra-fast reject -5.1%
2026-04-07T19:13:59.571Z,SHIRO,0.000001721,0.0000020160310462895307,17.14%,0.02 SOL,1.2min,TP1 +17.1%
2026-04-07T19:17:09.439Z,SHIRO,0.000001721,0.0000018095454750018869,5.15%,0.02 SOL,4.4min,Trail -15.8% from peak
2026-04-07T19:45:29.627Z,HYRE,9.648e-7,9.302842803944405e-7,-3.58%,0.02 SOL,0.1min,Ultra-fast reject -3.6%
2026-04-07T20:33:55.107Z,TRUMP2,0.000007301,0.000008418381772001665,15.30%,0.02 SOL,8.6min,TP1 +15.3%
2026-04-07T21:34:40.452Z,TRUMP2,0.000007301,0.000010962147887390892,50.15%,0.02 SOL,69.4min,TP2 +50.1%
2026-04-07T22:03:05.623Z,YUKA,0.000001726,0.0000014654171519783131,-15.10%,0.02 SOL,1.1min,Rapid bleed -15.1%
2026-04-08T04:26:17.430Z,CLAWD,0.000001821,0.0000021026540865794276,15.47%,0.02 SOL,3.8min,TP1 +15.5%
2026-04-08T04:31:17.483Z,CLAWD,0.000001821,0.0000020737244600575635,13.88%,0.02 SOL,8.8min,Trail -9.0% from peak
2026-04-08T04:49:07.589Z,TACO,0.000008598,0.00000828167977238342,-3.68%,0.02 SOL,0.3min,Ultra-fast reject -3.7%
2026-04-08T05:36:32.910Z,OPAL,7.982e-7,7.464886144272862e-7,-6.48%,0.02 SOL,0.4min,Ultra-fast reject -6.5%
2026-04-08T05:45:12.990Z,BabyVance,0.0000251,0.00002408458098120173,-4.05%,0.02 SOL,0.1min,Ultra-fast reject -4.0%
2026-04-08T06:25:08.209Z,TINYCOIN,0.000001606,0.0000013841311027267384,-13.81%,0.02 SOL,3.1min,Standard bleed -13.8%
2026-04-08T07:13:58.572Z,OUTLAST,0.000001363,0.0000011645949055298908,-14.56%,0.02 SOL,7.8min,Slow bleed -14.6%
2026-04-08T16:35:13.043Z,Shiro,0.00000135,0.0000012985447512985448,-3.81%,0.02 SOL,0.1min,Ultra-fast reject -3.8%
2026-04-08T16:43:23.142Z,BBL,0.000001111,0.0000010309913395827565,-7.20%,0.02 SOL,0.1min,Ultra-fast reject -7.2%
2026-04-08T17:24:43.408Z,HORMUZ,0.000001778,0.0000020586128547142236,15.78%,0.02 SOL,4.8min,TP1 +15.8%
2026-04-08T17:26:13.425Z,HORMUZ,0.000001778,0.000001923884915807921,8.21%,0.02 SOL,6.3min,Trail -9.4% from peak
2026-04-08T17:51:03.598Z,SIM,0.000007748,0.000007432772637689998,-4.07%,0.02 SOL,1.1min,Rapid bleed -4.1%
